Sentence #,Word,POS,Tag
Sentence: 1,evaluation,NNP,O
,of,IN,O
,Talking,VBG,O
,Parents,NNS,O
,Healthy,JJ,O
,Teens,NNS,O
,a,DT,O
,new,JJ,O
,worksite,NN,O
,based,VBN,O
,parenting,NN,O
,program,NN,O
,to,TO,O
,promote,VB,O
,parent-adolescent,JJ,O
,communication,NN,O
,about,IN,O
,sexual,JJ,O
,health,NN,O
,randomised,VBD,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 2,children,none,O
,'s,none,O
,Hospital,none,O
,Boston,none,O
,and,none,O
,Harvard,none,O
,Medical,none,O
,School,none,O
,Boston,none,O
,MA,none,O
,02115,none,O
,USA,none,O
,-EOS-,eos,O
Sentence: 3,to,TO,O
,evaluate,VB,O
,a,DT,O
,worksite,NN,O
,based,VBN,O
,parenting,JJ,O
,programme-Talking,JJ,O
,Parents,NNS,O
,Healthy,JJ,O
,Teens-designed,JJ,O
,to,TO,O
,help,NN,O
,parents,NNS,O
,learn,VBP,O
,to,TO,O
,address,VB,O
,sexual,JJ,O
,health,NN,O
,with,IN,O
,their,PRP$,O
,adolescent,JJ,O
,children,NNS,O
,-EOS-,eos,O
Sentence: 4,randomised,NNP,O
,controlled,VBD,O
,trial,NN,O
,-LRB-,-LRB-,O
,April,NNP,O
,2002-December,JJ,O
,2005,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 5,13,CD,O
,worksites,NNS,O
,in,IN,O
,southern,JJ,O
,California,NNP,O
,-EOS-,eos,O
Sentence: 6,569,CD,O
,parents,NNS,O
,completed,VBD,O
,baseline,NN,O
,surveys,NNS,O
,at,IN,O
,work,NN,O
,gave,VBD,O
,permission,NN,O
,for,IN,O
,confidential,JJ,O
,surveys,NNS,O
,to,TO,O
,be,VB,O
,posted,VBN,O
,to,TO,O
,their,PRP$,O
,adolescent,JJ,O
,children,NNS,O
,and,CC,O
,were,VBD,O
,randomised,VBN,O
,to,TO,O
,intervention,NN,O
,or,CC,O
,control,NN,O
,groups,NNS,O
,-EOS-,eos,O
Sentence: 7,parents,NNS,O
,and,CC,O
,adolescents,NNS,O
,completed,VBD,O
,follow-up,NN,O
,surveys,NNS,O
,at,IN,O
,1,CD,O
,week,NN,O
,3,CD,O
,months,NNS,O
,and,CC,O
,9,CD,O
,months,NNS,O
,after,IN,O
,the,DT,O
,program,NN,O
,-EOS-,eos,O
Sentence: 8,talking,VBG,O
,Parents,NNS,O
,Healthy,JJ,O
,Teens,NNS,O
,consists,VBZ,O
,of,IN,O
,8,CD,O
,weekly,JJ,O
,1,CD,O
,hour,NN,O
,sessions,NNS,O
,at,IN,O
,worksites,NNS,O
,for,IN,O
,parents,NNS,O
,of,IN,O
,adolescent,JJ,O
,children,NNS,O
,in,IN,O
,6th-10th,JJ,O
,grade,NN,O
,-LRB-,-LRB-,O
,about,RB,O
,ages,CD,O
,11,CD,O
,to,TO,O
,16,CD,O
,years,NNS,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 9,parent-adolescent,JJ,O
,communication,NN,O
,about,IN,O
,a,DT,O
,list,NN,O
,of,IN,O
,sexual,JJ,O
,topics,NNS,O
,whether,IN,O
,parent,NN,O
,taught,VBD,O
,adolescent,JJ,O
,how,WRB,O
,to,TO,O
,use,VB,O
,a,DT,O
,condom,NN,O
,ability,NN,O
,to,TO,O
,communicate,VB,O
,with,IN,O
,parent/adolescent,NN,O
,about,IN,O
,sex,NN,O
,openness,NN,O
,of,IN,O
,parent-adolescent,JJ,O
,communication,NN,O
,about,IN,O
,sex,NN,O
,-EOS-,eos,O
Sentence: 10,differences,NNS,O
,between,IN,O
,intervention,NN,O
,and,CC,O
,control,NN,O
,groups,NNS,O
,were,VBD,O
,significant,JJ,O
,for,IN,O
,the,DT,O
,mean,JJ,O
,number,NN,O
,of,IN,O
,new,JJ,O
,sexual,JJ,O
,topics,NNS,O
,that,IN,O
,parents,NNS,O
,and,CC,O
,adolescents,NNS,O
,reported,VBD,O
,discussing,VBG,O
,between,IN,O
,baseline,NN,O
,and,CC,O
,each,DT,O
,follow-up,NN,O
,-LRB-,-LRB-,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.001,CD,O
,for,IN,O
,each,DT,O
,-RRB-,-RRB-,O
,intervention,NN,O
,parents,NNS,O
,were,VBD,O
,less,RBR,O
,likely,JJ,O
,than,IN,O
,controls,NNS,O
,to,TO,O
,discuss,VB,OTC
,no,DT,OTC
,new,JJ,OTC
,topics,NNS,OTC
,-LRB-,-LRB-,O
,8,CD,O
,versus,IN,O
,29,CD,O
,SPECIAL_TERM,NNP,O
,for,IN,O
,difference,NN,O
,16,CD,O
,to,TO,O
,24,CD,O
,-RRB-,-RRB-,O
,and,CC,O
,more,RBR,O
,likely,JJ,O
,to,TO,O
,discuss,VB,OTC
,7,CD,OTC
,or,CC,OTC
,more,JJR,OTC
,new,JJ,OTC
,topics,NNS,OTC
,-LRB-,-LRB-,O
,38,CD,O
,versus,IN,O
,8,CD,O
,19,CD,O
,to,TO,O
,41,CD,O
,-RRB-,-RRB-,O
,at,IN,O
,9,CD,O
,months,NNS,O
,-EOS-,eos,O
Sentence: 11,some,DT,O
,differences,NNS,O
,increased,VBD,O
,after,IN,O
,completion,NN,O
,of,IN,O
,the,DT,O
,program,NN,O
,at,IN,O
,1,CD,O
,week,NN,O
,after,IN,O
,the,DT,O
,program,NN,O
,18,CD,O
,of,IN,O
,adolescents,NNS,O
,in,IN,O
,the,DT,O
,intervention,NN,O
,group,NN,O
,and,CC,O
,3,CD,O
,in,IN,O
,the,DT,O
,control,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,6,CD,O
,to,TO,O
,30,CD,O
,-RRB-,-RRB-,O
,said,VBD,O
,that,IN,O
,their,PRP$,O
,parents,NNS,O
,had,VBD,OTC
,reviewed,VBN,OTC
,how,WRB,OTC
,to,TO,OTC
,use,VB,OTC
,a,DT,OTC
,condom,NN,OTC
,since,IN,O
,baseline,NN,O
,-LRB-,-LRB-,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.001,CD,O
,-RRB-,-RRB-,O
,this,DT,O
,grew,VBD,O
,to,TO,O
,29,CD,O
,versus,IN,O
,5,CD,O
,-LRB-,-LRB-,O
,13,CD,O
,to,TO,O
,36,CD,O
,-RRB-,-RRB-,O
,at,IN,O
,9,CD,O
,months,NNS,O
,-LRB-,-LRB-,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.001,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 12,compared,VBN,O
,with,IN,O
,controls,NNS,O
,at,IN,O
,9,CD,O
,months,NNS,O
,parents,NNS,O
,and,CC,O
,adolescents,NNS,O
,in,IN,O
,the,DT,O
,intervention,NN,O
,group,NN,O
,reported,VBD,OTC
,greater,JJR,OTC
,ability,NN,OTC
,to,TO,OTC
,communicate,VB,OTC
,with,IN,OTC
,each,DT,OTC
,other,JJ,OTC
,about,IN,OTC
,sex,NN,OTC
,-LRB-,-LRB-,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.001,CD,O
,-RRB-,-RRB-,O
,and,CC,O
,more,JJR,O
,openness,NN,O
,in,IN,O
,communication,NN,O
,about,IN,O
,sex,NN,O
,-LRB-,-LRB-,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.001,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 13,a,DT,O
,worksite,NN,O
,based,VBN,O
,program,NN,O
,can,MD,O
,have,VB,O
,substantial,JJ,O
,effects,NNS,O
,on,IN,O
,communication,NN,O
,between,IN,O
,parents,NNS,O
,and,CC,O
,adolescents,NNS,O
,about,IN,O
,sexual,JJ,O
,health,NN,O
,-EOS-,eos,O
Sentence: 14,clinical,NNP,O
,Trials,NNP,O
,NCT00465010,NNP,O
,-EOS-,eos,O
Sentence: 15,adolescent,NNP,O
,Sexual,NNP,O
,Risk,NNP,O
,Behaviors,NNPS,O
Sentence: 16,parents,NNS,O
,of,IN,O
,adolescents,NNS,O
,in,IN,O
,grades,NNS,O
,6,CD,O
,to,TO,O
,10,CD,O
Sentence: 17,parents,NNS,O
,must,MD,O
,spend,VB,O
,greater,JJR,O
,than,IN,O
,2,CD,O
,days,NNS,O
,per,IN,O
,week,NN,O
,with,IN,O
,their,PRP$,O
,adolescents,NNS,O
Sentence: 18,1,CD,O
,parent,NN,O
,per,IN,O
,household/family,NN,O
Sentence: 19,talking,JJ,O
,Parents,NNS,O
,Healthy,JJ,O
,Teens,NNS,O
Sentence: 20,talking,VBG,O
,Parents,NNS,O
,Healthy,JJ,O
,Teens,NNS,O
,is,VBZ,O
,a,DT,O
,worksite-based,JJ,O
,parenting,NN,O
,program,NN,O
,to,TO,O
,help,VB,O
,parents,NNS,O
,of,IN,O
,6th-10th,JJ,O
,graders,NNS,O
,learn,VBP,O
,to,TO,O
,promote,VB,O
,their,PRP$,O
,adolescents,NNS,O
,',POS,O
,healthy,JJ,O
,sexual,JJ,O
,development,NN,O
,-EOS-,eos,O
Sentence: 21,the,DT,O
,program,NN,O
,is,VBZ,O
,administered,VBN,O
,in,IN,O
,8,CD,O
,weekly,JJ,O
,one-hour,JJ,O
,sessions,NNS,O
,during,IN,O
,the,DT,O
,lunch,NN,O
,hour,NN,O
,to,TO,O
,groups,NNS,O
,of,IN,O
,about,RB,O
,15,CD,O
,parents,NNS,O
,and,CC,O
,focuses,VBZ,O
,on,IN,O
,parent-adolescent,JJ,O
,relationships,NNS,O
,and,CC,O
,communication,NN,O
,with,IN,O
,an,DT,O
,emphasis,NN,O
,on,IN,O
,promoting,VBG,O
,sexual,JJ,O
,health,NN,O
,and,CC,O
,reducing,VBG,O
,sexual,JJ,O
,risk,NN,O
,-EOS-,eos,O
Sentence: 22,it,PRP,O
,is,VBZ,O
,led,VBN,O
,by,IN,O
,a,DT,O
,trained,VBN,O
,facilitator,NN,O
,and,CC,O
,assistant,NN,O
,facilitator,NN,O
,-EOS-,eos,O
Sentence: 23,0,CD,O
,3,CD,O
,9,CD,O
,15,CD,O
,21,CD,O
,27,CD,O
,33,CD,O
,39,CD,O
,&,CC,O
,45,CD,O
,months,NNS,O
,post-intervention,JJ,O
Sentence: 24,0,CD,O
,3,CD,O
,9,CD,O
,15,CD,O
,21,CD,O
,27,CD,O
,33,CD,O
,39,CD,O
,&,CC,O
,45,CD,O
,months,NNS,O
,post-intervention,JJ,O
Sentence: 25,0,CD,O
,3,CD,O
,9,CD,O
,15,CD,O
,21,CD,O
,27,CD,O
,33,CD,O
,39,CD,O
,&,CC,O
,45,CD,O
,months,NNS,O
,post-intervention,JJ,O
Sentence #,Word,POS,Tag
Sentence: 26,incidence,NNP,O
,of,IN,O
,pregnancy,NN,O
,after,IN,O
,expectant,JJ,O
,medical,JJ,O
,or,CC,O
,surgical,JJ,O
,management,NN,O
,of,IN,O
,spontaneous,JJ,O
,first,JJ,O
,trimester,NN,O
,miscarriage,NN,O
,long,JJ,O
,term,NN,O
,follow-up,NN,O
,of,IN,O
,miscarriage,JJ,O
,treatment,NN,O
,-LRB-,-LRB-,O
,MIST,NNP,O
,-RRB-,-RRB-,O
,randomised,VBD,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 27,east,none,O
,Somerset,none,O
,Research,none,O
,Consortium,none,O
,Westlake,none,O
,Surgery,none,O
,West,none,O
,Coker,none,O
,Somerset,none,O
,BA22,none,O
,9AH,none,O
,-EOS-,eos,O
Sentence: 28,to,TO,O
,compare,VB,O
,fertility,NN,O
,rates,NNS,O
,after,IN,O
,the,DT,O
,3,CD,O
,methods,NNS,O
,of,IN,O
,managing,VBG,O
,early,JJ,O
,miscarriage,NN,O
,in,IN,O
,women,NNS,O
,recruited,VBN,O
,to,TO,O
,the,DT,O
,MIST,NN,O
,-LRB-,-LRB-,O
,miscarriage,JJ,O
,treatment,NN,O
,-RRB-,-RRB-,O
,randomised,VBD,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 29,early,RB,O
,pregnancy,NN,O
,clinics,NNS,O
,of,IN,O
,acute,JJ,O
,hospitals,NNS,O
,in,IN,O
,the,DT,O
,south,JJ,O
,west,NN,O
,region,NN,O
,of,IN,O
,England,NNP,O
,-EOS-,eos,O
Sentence: 30,1199,CD,O
,women,NNS,O
,who,WP,O
,had,VBD,O
,had,VBN,O
,an,DT,O
,early,JJ,O
,miscarriage,NN,O
,-LRB-,-LRB-,O
,less,JJR,O
,than,IN,O
,13,CD,O
,weeks,NNS,O
,-RRB-,-RRB-,O
,confirmed,VBD,O
,by,IN,O
,scan,NNP,O
,-EOS-,eos,O
Sentence: 31,expectant,NNP,O
,medical,JJ,O
,or,CC,O
,surgical,JJ,O
,management,NN,O
,-EOS-,eos,O
Sentence: 32,self,NNP,OTC
,reported,VBD,OTC
,pregnancy,NN,OTC
,rates,NNS,OTC
